R		E(Rx-nowall)	E(Rx-wall)	E(Rx-newP)	E(abinitio)
20		-124.39113	-124.38745	-123.84118	-76.1454367	
2.0		-127.97202	-127.96931	-124.36713	-76.1778434
1.8		-136.9271	-136.92435	-130.3085	-76.1987059
1.5		-175.23131	-175.22838	-163.28572	-76.2469868
1.4		-191.19695	-191.19394	-181.07666	-76.2672581
1.3		-205.89456	-205.89145	-199.74429	-76.2887854
1.2		-219.46125	-219.458	-216.94231	-76.3102592		
1.1		-230.9414	-230.9379	-230.12083	-76.3292383
1.0		-236.60905	-236.60407	-236.74902	-76.3412948		
0.9616		-236.18958	-236.18221	-237.12366	-76.3425611			
0.9		-231.6003	-231.57846	-234.95503	-76.3383816			
0.85		-223.75773	-223.68829	-230.63498	-76.3270533	
0.8		-211.64264	-211.40062	-223.95522 	-76.3055395
0.75		-194.35221	-193.48377	-214.82796	-76.269818
0.7		-169.92481	-166.78167	-203.09851	-76.2142713
0.65		-134.12419	-122.72034	-188.51286	-76.1309683
0.6		-81.531676	-40.12765	-170.65201	-76.0085589			

