R		E(Rx-nowall)	E(Rx-wall)	E(Rx-newP)	E(abinitio)
20		-5.3415211	-5.3415211	-2.6169072	-55.0167649
2.0		-4.2959377	-4.2959377	1.5425463	-55.0318421
1.8		-7.4072468	-7.4072468	-4.7877141	-55.0475621
1.5		-42.380016	-42.380016	-52.986266	-55.0864293
1.4		-62.99911	-62.99911	-76.958848	-55.1022218
1.3		-79.868732	-79.868731	-96.84803	-55.1181932			
1.2		-91.118807 	-91.118798	-109.40217	-55.1327563
1.1		-98.666938	-98.666828	-114.19395	-55.1430346
1.0		-101.04791	-101.04647	-112.34412	-55.1440333
0.9		-93.797948	-93.778959	-105.74338	-55.1269972
0.8		-72.626591	-72.377477	-95.724339	-55.0762288
0.7		-0.10155545	-31.476276	-82.917443	-54.9630025			
0.6		52.852106	64.856893	-67.527351	-54.7330902
0.5		100.4807	662.37421	-49.398054	-54.2791336


