JOB PARAMETERS:

Temperature is 2000.00000
Time step is  0.12500 fs
Number of steps is 1000
Number of layers is 1
Chebyshev short-range pair forces will be used
Force parameters will be read from params.cheby.txt
Coulomb forces will be calculated with Ewald sums
ReaxFF overcoordination term will be calculated
Built-in charges will be used
Pressures will be calculated using the virial
Velocities will be read from input.xyz
Random number seed = 12357
Trajectory will be written to traj.gen every 20 steps
Energies will be written every 10 steps
Nose-Hoover thermostat time = 10.00000 fs

END OF JOB PARAMETERS

v.c.o.m. = 6.96396867455082e-14   -5.22171506391837e-14   1.88826311419191e-14
v.c.o.m. = 7.70346256331636e-19   1.54069251266327e-18   2.35918541001563e-18
Cheby minimum = 0.6
Cheby maximum = 6
Cheby order    = 14
Reading overcoordination parameters from params.cheby.txt
Overcoordination parameter 0 =  5.000000e+01
Overcoordination parameter 1 =  1.016500e+00
Overcoordination parameter 2 = -6.570000e-02
Overcoordination parameter 3 =  5.045100e+00
Overcoordination parameter 4 = -3.614100e+00
Built-in Q[H] =      0.32988 e
Charge sum per atom =   0.00000e+00
Volume                       = 638.08412 Ang.^3
Number density               =  0.24983 mol atm/cc
Mass density                 =  3.00046 g/cc
Requested Ewald accuracy  =  1.000000e-07
Ewald alpha               =  5.853127e-01
R-Space Ewald cutoff      =  6.173215e+00
R-Space accuracy estimate =  5.220777e-08
K-Space accuracy estimate =  5.489244e-07
Cutting off K-vectors with magnitude less than 6
Number of Ewald K-vectors = 894
K-space accuracy estimate = 6.6261033015771e-08
    Step      Time          Ktot/N          Vtot/N          Etot/N               T               P         Econs/N
              (fs)      (kcal/mol)      (kcal/mol)      (kcal/mol)             (K)           (GPa)      (kcal/mol)
      10      1.25       4.1488169     -72.7132687     -68.5644518          1406.6           7.747    -68.5807685
      20      2.50       4.0094828     -72.5188819     -68.5093991          1359.4          14.339    -68.5803908
      30      3.75       4.0814043     -72.4976336     -68.4162293          1383.8          17.448    -68.5803658
      40      5.00       4.4247661     -72.7013964     -68.2766303          1500.2          15.189    -68.5807279
      50      6.25       4.3395490     -72.4352948     -68.0957459          1471.3          10.385    -68.5801763
      60      7.50       4.2953529     -72.1812204     -67.8858675          1456.3           5.995    -68.5798153
      70      8.75       4.7033734     -72.3323919     -67.6290185          1594.7           4.377    -68.5800036
      80     10.00       5.0074874     -72.3252334     -67.3177460          1697.8           6.675    -68.5797596
      90     11.25       5.3014865     -72.2679868     -66.9665003          1797.4          10.966    -68.5794125
     100     12.50       5.8437460     -72.4120267     -66.5682807          1981.3          13.929    -68.5793505
     110     13.75       6.2305138     -72.3631015     -66.1325877          2112.4          14.348    -68.5794228
     120     15.00       6.1718622     -71.8662222     -65.6943600          2092.5          12.909    -68.5789151
     130     16.25       6.3261198     -71.5939559     -65.2678360          2144.8          10.432    -68.5792557
     140     17.50       6.4590184     -71.2997475     -64.8407291          2189.9           8.710    -68.5789511
     150     18.75       6.7437661     -71.1684825     -64.4247163          2286.4           8.484    -68.5788692
     160     20.00       7.1114483     -71.1260774     -64.0146290          2411.1           9.982    -68.5789461
     170     21.25       7.2694769     -70.9061700     -63.6366932          2464.7          12.070    -68.5783890
     180     22.50       7.7574564     -71.0562708     -63.2988144          2630.1          12.794    -68.5790280
     190     23.75       7.6449370     -70.6656714     -63.0207345          2592.0          12.821    -68.5787747
     200     25.00       7.5028394     -70.3254099     -62.8225705          2543.8          12.232    -68.5780934
     210     26.25       7.9651795     -70.6523229     -62.6871434          2700.6          10.629    -68.5790406
     220     27.50       7.8738372     -70.5048229     -62.6309857          2669.6          10.678    -68.5781594
     230     28.75       7.6874201     -70.3467751     -62.6593550          2606.4          12.038    -68.5788943
     240     30.00       7.2609989     -70.0141884     -62.7531895          2461.8          12.777    -68.5778659
     250     31.25       7.4843831     -70.3883953     -62.9040123          2537.5          12.094    -68.5788935
     260     32.50       7.2013078     -70.3170677     -63.1157599          2441.6          11.331    -68.5789099
