JOB PARAMETERS:

Temperature is 2000.00000
Time step is  0.12500 fs
Number of steps is 1000
Number of layers is 1
Spline short-range pair forces will be used
Force parameters will be read from params.spline.txt
Coulomb forces will be calculated with Ewald sums
ReaxFF overcoordination term will be calculated
Built-in charges will be used
Pressures will be calculated using the virial
Velocities will be read from input.xyz
Random number seed = 12357
Trajectory will be written to traj.gen every 20 steps
Energies will be written every 10 steps
Nose-Hoover thermostat time = 10.00000 fs

END OF JOB PARAMETERS

v.c.o.m. = 6.96396867455082e-14   -5.22171506391837e-14   1.88826311419191e-14
v.c.o.m. = 7.70346256331636e-19   1.54069251266327e-18   2.35918541001563e-18
Spline minimum = 0.6
Spline maximum = 6
Spline step    = 0.05
Reading overcoordination parameters from params.spline.txt
Overcoordination parameter 0 =  5.000000e+01
Overcoordination parameter 1 =  1.016500e+00
Overcoordination parameter 2 = -6.570000e-02
Overcoordination parameter 3 =  5.045100e+00
Overcoordination parameter 4 = -3.614100e+00
Filling in table 0 for values less than 0
Filling in table 1 for values less than 228
Filling in table 2 for values less than 458
Built-in Q[H] =      0.32988 e
Charge sum per atom =   0.00000e+00
Volume                       = 638.08412 Ang.^3
Number density               =  0.24983 mol atm/cc
Mass density                 =  3.00046 g/cc
Requested Ewald accuracy  =  1.000000e-07
Ewald alpha               =  5.853127e-01
R-Space Ewald cutoff      =  6.173215e+00
R-Space accuracy estimate =  5.220777e-08
K-Space accuracy estimate =  5.489244e-07
Cutting off K-vectors with magnitude less than 6
Number of Ewald K-vectors = 894
K-space accuracy estimate = 6.6261033015771e-08
    Step      Time          Ktot/N          Vtot/N          Etot/N               T               P         Econs/N
              (fs)      (kcal/mol)      (kcal/mol)      (kcal/mol)             (K)           (GPa)      (kcal/mol)
      10      1.25       4.2537184     -80.0598516     -75.8061333          1442.2           3.438    -75.8224800
      20      2.50       4.1823413     -79.9345198     -75.7521785          1418.0          11.361    -75.8228765
      30      3.75       4.2193532     -79.8847607     -75.6654076          1430.6          15.403    -75.8267548
      40      5.00       4.6193782     -80.1460688     -75.5266906          1566.2          12.832    -75.8234067
      50      6.25       4.5513868     -79.9035092     -75.3521224          1543.1           6.659    -75.8226009
      60      7.50       4.4111377     -79.5649948     -75.1538571          1495.6           1.947    -75.8228529
      70      8.75       4.6886147     -79.6064033     -74.9177885          1589.7          -2.334    -75.8242124
      80     10.00       5.0897225     -79.7217330     -74.6320105          1725.6           0.593    -75.8261272
      90     11.25       5.3751526     -79.6761699     -74.3010172          1822.4           6.755    -75.8253448
     100     12.50       5.9248840     -79.8557414     -73.9308574          2008.8          11.652    -75.8247581
     110     13.75       6.4169283     -79.9390949     -73.5221665          2175.6          11.447    -75.8230564
     120     15.00       6.2946806     -79.4084111     -73.1137304          2134.2           9.089    -75.8190983
     130     16.25       6.2212970     -78.9553346     -72.7340376          2109.3           5.631    -75.8192746
     140     17.50       6.3771315     -78.7349548     -72.3578233          2162.1           3.508    -75.8160355
     150     18.75       6.7146691     -78.7043515     -71.9896824          2276.6           3.896    -75.8172834
     160     20.00       6.8566408     -78.4908405     -71.6341997          2324.7           7.105    -75.8194360
     170     21.25       7.0274221     -78.3352826     -71.3078606          2382.6           9.264    -75.8191124
     180     22.50       7.6780880     -78.6841273     -71.0060393          2603.2           9.280    -75.8192716
